EXT1 I am the life of the party.,EXT2 I talk a lot.,EXT3 I feel comfortable around people.,EXT4 I don't keep in the background.,EXT5 I start conversations.,EXT6 I have a lot to say.,EXT7 I talk to a lot of different people at parties.,EXT8 I don't like to draw attention to myself.,EXT9 I don't mind being the center of attention.,EXT10 I am noisy around strangers.,,Age,Gender,birthorder,birthnum,Extroversion,birthorderratio
2,0,4,4,2,1,4,1,3,2,,48,2,3,3,2.3,1
4,4,5,3,4,4,4,4,4,4,,19,1,2,2,4,1
2,3,2,2,4,3,2,3,5,3,,27,1,1,1,2.9,1
1,2,3,0,4,4,1,0,1,0,,17,2,1,1,1.6,1
4,4,5,2,5,4,5,2,4,4,,49,2,2,4,3.9,0.5
1,0,1,0,3,0,1,0,3,0,,37,1,1,4,0.9,0.25
4,1,3,1,2,3,5,1,5,3,,19,1,10,10,2.8,1
3,3,4,3,4,4,2,3,4,3,,62,1,1,7,3.3,0.142857143
1,0,1,0,3,1,1,0,1,0,,48,2,1,2,0.8,0.5
5,4,5,4,5,2,5,4,4,4,,65,2,1,2,4.2,0.5
4,3,3,2,3,2,3,3,2,2,,36,2,1,3,2.7,0.333333333
5,4,5,4,5,4,5,3,4,4,,38,1,1,2,4.3,0.5
4,3,3,2,4,3,4,2,3,2,,21,2,1,2,3,0.5
1,1,3,1,4,3,2,0,1,0,,13,2,1,1,1.6,1
3,2,4,4,5,4,4,1,5,2,,16,2,5,6,3.4,0.833333333
2,2,3,2,2,2,1,1,3,0,,48,1,4,4,1.8,1
2,3,4,3,4,3,3,0,2,1,,32,1,1,1,2.5,1
1,2,1,1,2,4,1,0,1,0,,52,2,3,3,1.3,1
5,4,5,4,5,4,5,4,5,4,,19,1,1,2,4.5,0.5
3,3,4,1,4,3,4,1,2,0,,20,2,2,3,2.5,0.666666667
3,2,4,1,5,3,4,4,2,3,,45,2,1,2,3.1,0.5
1,2,1,1,1,1,1,3,2,0,,44,2,1,2,1.3,0.5
1,1,5,0,2,3,1,0,1,0,,41,2,1,4,1.4,0.25
1,0,2,0,1,0,1,1,3,0,,15,2,1,1,0.9,1
1,0,1,0,1,0,1,0,1,0,,40,2,3,4,0.5,0.75
1,1,3,1,3,4,2,4,2,0,,29,2,1,3,2.1,0.333333333
1,0,2,0,2,2,1,0,2,0,,21,2,1,1,1,1
2,2,1,4,1,1,1,0,1,0,,19,1,2,2,1.3,1
4,2,4,1,2,4,3,3,4,1,,18,1,3,5,2.8,0.6
1,0,1,0,5,4,1,1,1,3,,60,1,3,5,1.7,0.6
3,3,5,3,4,4,3,1,4,2,,17,2,1,2,3.2,0.5
3,4,4,3,5,4,4,2,3,3,,19,2,2,3,3.5,0.666666667
1,1,2,1,1,1,1,0,1,0,,44,2,1,1,0.9,1
1,0,3,0,3,2,4,2,5,2,,18,2,1,2,2.2,0.5
1,4,3,0,5,4,1,0,2,2,,24,2,1,2,2.2,0.5
1,1,2,0,2,1,1,1,2,0,,20,1,3,3,1.1,1
2,1,2,1,3,3,1,1,2,1,,30,2,3,3,1.7,1
1,0,2,0,1,0,2,0,2,0,,53,2,1,1,0.8,1
4,4,4,4,5,4,3,2,4,3,,47,2,1,3,3.7,0.333333333
1,0,2,0,1,0,2,0,1,0,,24,2,1,2,0.7,0.5
1,1,4,2,2,2,2,1,1,1,,56,1,1,2,1.7,0.5
1,1,3,0,2,1,1,1,1,0,,21,2,2,2,1.1,1
2,2,2,3,2,3,1,3,3,0,,22,2,2,2,2.1,1
3,3,4,2,3,3,3,3,2,2,,45,2,1,3,2.8,0.333333333
1,1,2,0,2,0,2,0,1,0,,42,2,3,3,0.9,1
1,0,3,0,1,3,1,0,1,0,,19,2,2,3,1,0.666666667
4,1,2,1,1,1,1,2,4,0,,19,2,2,2,1.7,1
4,2,5,2,3,4,4,2,3,2,,64,1,1,6,3.1,0.166666667
3,1,2,1,1,3,2,0,2,1,,38,1,1,2,1.6,0.5
3,3,4,4,2,4,3,2,3,2,,27,1,1,2,3,0.5
3,1,2,2,3,2,2,2,3,2,,16,2,4,4,2.2,1
1,0,2,0,2,0,1,0,1,0,,16,1,1,3,0.7,0.333333333
5,5,4,4,4,4,4,4,4,3,,17,1,2,3,4.1,0.666666667
3,2,4,2,4,3,3,2,4,0,,17,1,2,2,2.7,1
1,2,2,1,2,3,1,0,1,0,,16,2,5,6,1.3,0.833333333
2,4,3,2,5,4,1,2,4,0,,19,2,1,3,2.7,0.333333333
2,4,3,2,4,3,4,1,2,2,,40,2,2,3,2.7,0.666666667
4,4,5,4,4,4,3,4,5,0,,17,1,1,1,3.7,1
4,4,5,3,5,4,5,2,4,3,,26,2,1,2,3.9,0.5
1,2,1,1,1,2,1,0,1,0,,28,1,2,2,1,1
4,3,5,4,4,4,5,4,5,2,,24,1,2,2,4,1
2,3,4,1,3,2,3,3,2,1,,16,2,1,1,2.4,1
1,0,1,0,1,0,1,0,1,0,,27,1,1,3,0.5,0.333333333
4,3,4,3,4,4,4,3,5,2,,19,2,1,2,3.6,0.5
1,0,3,1,4,1,1,1,2,2,,35,2,2,2,1.6,1
4,4,4,1,3,3,1,3,3,0,,49,2,1,3,2.6,0.333333333
4,2,3,3,4,2,3,3,4,1,,22,1,3,3,2.9,1
1,1,1,1,1,3,1,1,4,0,,17,2,1,3,1.4,0.333333333
3,0,5,3,5,0,1,0,5,0,,25,1,2,2,2.2,1
4,4,4,4,5,4,4,2,4,3,,46,2,1,3,3.8,0.333333333
3,1,3,2,3,3,5,2,5,3,,36,1,1,2,3,0.5
1,0,2,0,2,1,1,0,1,0,,17,2,1,3,0.8,0.333333333
2,1,2,1,3,3,2,1,3,1,,34,2,2,2,1.9,1
3,2,1,3,3,4,2,0,3,2,,21,1,2,3,2.3,0.666666667
1,3,2,1,1,2,1,0,1,0,,21,1,1,6,1.2,0.166666667
2,2,1,1,2,3,1,0,2,0,,14,2,2,2,1.4,1
3,4,4,2,4,3,3,0,1,2,,21,2,3,4,2.6,0.75
2,2,4,1,4,1,3,2,2,0,,27,2,4,4,2.1,1
1,0,1,0,1,3,1,0,1,0,,21,2,2,3,0.8,0.666666667
2,1,2,0,4,4,3,2,3,1,,25,1,1,2,2.2,0.5
2,1,4,1,2,1,2,3,2,1,,20,2,2,4,1.9,0.5
5,3,4,4,5,4,5,1,5,0,,45,2,3,3,3.6,1
2,1,4,2,4,3,4,3,2,1,,20,2,1,2,2.6,0.5
2,2,4,2,3,3,4,0,2,1,,27,2,1,2,2.3,0.5
5,4,5,3,5,4,5,4,5,3,,33,1,4,4,4.3,1
5,3,4,3,5,3,5,3,5,3,,22,2,1,3,3.9,0.333333333
4,3,3,1,4,2,3,0,2,0,,17,2,2,2,2.2,1
3,2,3,2,3,1,4,2,3,2,,20,1,3,3,2.5,1
2,1,2,0,2,3,2,1,4,0,,14,2,2,2,1.7,1
3,2,4,2,4,0,3,1,3,3,,42,2,1,2,2.5,0.5
3,0,3,0,3,0,1,0,1,0,,17,2,2,4,1.1,0.5
2,2,3,1,4,2,3,2,4,1,,17,2,2,2,2.4,1
1,2,5,0,1,2,1,2,3,0,,56,2,3,4,1.7,0.75
1,0,5,0,1,3,1,0,1,0,,25,2,1,2,1.2,0.5
1,1,1,1,2,3,1,1,2,0,,27,2,1,3,1.3,0.333333333
2,0,2,1,1,1,1,0,1,0,,26,2,1,2,0.9,0.5
1,0,1,1,1,4,1,0,1,0,,17,2,1,1,1,1
1,0,1,0,1,0,1,0,1,0,,26,1,2,2,0.5,1
2,1,3,1,2,1,2,1,3,0,,20,1,2,3,1.6,0.666666667
3,2,3,1,3,3,1,1,2,1,,32,2,1,2,2,0.5
3,2,4,2,4,3,4,1,4,3,,62,1,5,5,3,1
4,2,3,3,2,1,3,2,2,2,,22,1,1,2,2.4,0.5
2,3,5,3,4,4,2,1,4,0,,19,2,2,2,2.8,1
4,3,3,3,4,4,3,0,3,2,,18,2,2,3,2.9,0.666666667
5,4,4,4,5,4,4,2,5,4,,21,2,2,2,4.1,1
4,4,5,2,4,3,4,1,2,2,,21,2,2,3,3.1,0.666666667
3,2,5,1,4,2,2,0,4,1,,62,2,2,2,2.4,1
2,1,3,3,2,1,2,1,2,0,,37,2,1,2,1.7,0.5
4,2,5,3,5,4,5,4,5,4,,24,1,1,1,4.1,1
4,3,4,3,5,1,4,1,3,2,,22,1,2,4,3,0.5
2,4,3,4,4,4,2,4,5,3,,16,2,2,2,3.5,1
1,3,2,3,1,3,2,0,1,1,,16,2,5,7,1.7,0.714285714
2,0,1,0,1,1,1,1,1,0,,25,1,2,3,0.8,0.666666667
3,3,2,2,4,3,2,3,4,1,,25,1,1,2,2.7,0.5
3,2,3,1,4,2,2,2,3,1,,20,1,2,2,2.3,1
3,4,4,3,5,3,4,2,3,3,,71,2,2,3,3.4,0.666666667
2,1,2,1,3,1,3,1,2,1,,29,1,1,2,1.7,0.5
4,4,4,3,4,4,4,3,5,2,,20,2,2,2,3.7,1
2,1,2,2,3,4,1,2,2,0,,23,2,2,2,1.9,1
5,2,5,4,5,2,5,2,5,4,,40,2,1,2,3.9,0.5
1,2,3,1,3,2,2,2,3,0,,25,2,1,2,1.9,0.5
1,2,1,2,2,3,1,0,1,0,,18,2,2,3,1.3,0.666666667
1,0,2,1,1,0,1,0,2,0,,20,1,2,2,0.8,1
3,1,4,3,4,3,4,2,3,2,,28,2,4,5,2.9,0.8
2,3,3,2,4,2,4,1,2,1,,55,2,3,4,2.4,0.75
3,3,5,2,5,3,3,2,2,3,,32,2,5,7,3.1,0.714285714
2,2,3,1,3,1,1,1,2,1,,25,2,1,1,1.7,1
4,4,4,1,4,3,5,0,2,3,,28,2,2,3,3,0.666666667
2,1,3,1,4,3,4,1,2,3,,25,1,1,2,2.4,0.5
3,3,3,4,3,3,2,1,1,2,,28,1,1,1,2.5,1
1,2,3,0,3,4,2,2,2,0,,25,1,1,3,1.9,0.333333333
3,1,4,1,5,4,3,0,2,3,,75,2,3,3,2.6,1
3,3,5,3,5,3,4,1,2,3,,30,2,2,2,3.2,1
1,0,1,0,1,3,1,0,1,0,,33,1,3,5,0.8,0.6
4,0,1,1,2,3,5,0,3,0,,20,1,1,4,1.9,0.25
1,0,3,1,1,1,1,0,2,0,,20,1,2,3,1,0.666666667
3,1,5,1,2,4,1,4,3,0,,42,2,2,3,2.4,0.666666667
2,2,3,1,1,3,2,0,2,1,,21,2,2,2,1.7,1
3,3,5,2,4,2,4,2,4,3,,20,1,1,3,3.2,0.333333333
1,2,2,2,4,4,5,0,2,1,,27,1,1,4,2.3,0.25
2,1,3,1,1,1,1,1,2,1,,33,2,3,4,1.4,0.75
3,3,2,2,4,3,4,1,2,1,,19,2,1,3,2.5,0.333333333
4,3,5,3,5,4,5,4,5,3,,26,2,1,1,4.1,1
1,0,3,0,3,1,1,0,1,0,,30,2,2,2,1,1
1,0,1,0,1,4,1,3,5,0,,26,2,2,2,1.6,1
2,2,3,1,3,4,2,1,4,1,,31,1,1,4,2.3,0.25
4,3,4,3,3,3,3,2,3,1,,31,2,1,2,2.9,0.5
1,2,2,0,2,2,2,1,1,1,,16,2,2,4,1.4,0.5
5,4,5,4,5,4,5,1,5,4,,29,1,2,3,4.2,0.666666667
4,4,4,3,4,3,4,2,4,2,,19,1,2,2,3.4,1
4,3,4,2,4,4,5,2,4,2,,18,1,2,3,3.4,0.666666667
4,3,4,2,4,4,5,1,4,0,,23,1,3,4,3.1,0.75
1,4,5,3,5,3,1,2,4,3,,24,2,1,2,3.1,0.5
1,3,3,2,4,2,1,4,2,1,,19,2,1,1,2.3,1
1,1,3,0,4,2,1,0,1,2,,44,2,1,2,1.5,0.5
2,3,4,4,2,1,2,2,2,1,,65,2,1,11,2.3,0.090909091
1,1,1,0,1,1,1,0,1,0,,19,2,1,2,0.7,0.5
3,1,5,2,4,4,4,1,2,3,,28,1,2,5,2.9,0.4
4,4,5,4,5,4,5,4,4,4,,24,1,1,2,4.3,0.5
1,0,1,1,1,2,1,0,2,0,,19,1,1,2,0.9,0.5
1,1,2,2,2,4,1,1,2,1,,17,2,2,3,1.7,0.666666667
1,1,1,0,2,2,1,4,1,1,,29,0,1,2,1.4,0.5
1,4,1,1,3,0,1,0,1,0,,23,1,2,2,1.2,1
4,4,5,2,5,4,5,1,5,4,,45,1,2,2,3.9,1
4,3,3,2,4,4,4,2,3,2,,28,2,3,3,3.1,1
1,2,3,2,1,4,1,2,5,0,,13,2,3,3,2.1,1
3,0,3,1,4,1,2,3,2,0,,20,1,1,1,1.9,1
2,1,1,0,1,3,1,1,2,0,,17,2,2,2,1.2,1
5,4,5,3,5,3,4,3,5,4,,17,1,2,6,4.1,0.333333333
3,1,4,1,4,3,4,0,4,0,,23,1,3,4,2.4,0.75
4,3,5,2,5,4,5,2,5,2,,23,2,1,3,3.7,0.333333333
2,2,3,2,4,3,1,1,3,1,,39,2,2,2,2.2,1
4,3,2,2,4,3,5,2,4,2,,19,1,1,2,3.1,0.5
3,2,4,2,4,4,2,3,4,0,,24,1,1,3,2.8,0.333333333
3,3,3,1,4,3,2,3,4,2,,20,1,4,4,2.8,1
2,2,4,1,4,3,2,1,2,1,,38,1,1,3,2.2,0.333333333
2,2,2,0,3,2,5,0,5,0,,32,2,3,4,2.1,0.75
3,3,5,4,4,3,4,3,3,2,,31,2,1,2,3.4,0.5
2,4,3,3,4,4,2,3,4,0,,25,1,3,3,2.9,1
3,2,3,1,4,2,3,1,4,3,,24,1,1,1,2.6,1
2,4,5,1,5,3,5,1,2,3,,48,2,1,2,3.1,0.5
1,1,3,1,5,3,2,3,1,3,,24,1,3,3,2.3,1
1,1,4,1,3,4,3,2,4,1,,55,1,1,3,2.4,0.333333333
3,2,3,2,3,2,3,2,4,2,,24,1,1,1,2.6,1
5,3,4,1,5,3,4,0,1,3,,30,1,5,5,2.9,1
3,2,3,2,4,3,4,0,2,2,,41,2,1,3,2.5,0.333333333
1,0,2,2,2,1,2,2,3,0,,42,2,1,2,1.5,0.5
1,0,1,1,1,1,1,0,1,0,,13,2,2,2,0.7,1
4,2,2,5,1,4,4,1,3,0,,26,1,4,4,2.6,1
4,3,4,3,4,2,4,2,4,2,,37,1,1,3,3.2,0.333333333
4,3,2,0,1,1,1,2,3,1,,31,1,1,2,1.8,0.5
2,2,2,1,2,3,2,0,1,0,,21,2,4,4,1.5,1
2,2,1,4,4,5,5,3,5,0,,21,1,1,2,3.1,0.5
3,0,3,1,2,0,2,3,5,0,,27,1,2,3,1.9,0.666666667
4,4,3,2,3,2,3,2,4,1,,57,1,11,11,2.8,1
3,3,3,3,4,4,4,2,3,1,,23,2,4,4,3,1
1,3,2,0,1,3,1,0,1,0,,21,2,1,3,1.2,0.333333333
3,3,3,2,3,2,2,3,2,1,,26,2,2,4,2.4,0.5
5,4,5,4,5,4,5,4,1,4,,20,2,1,2,4.1,0.5
4,4,5,2,5,4,5,2,4,4,,39,2,1,1,3.9,1
1,1,1,1,2,1,1,0,1,0,,44,2,1,4,0.9,0.25
2,4,4,3,4,3,4,2,4,2,,19,2,2,2,3.2,1
3,3,2,2,3,2,1,0,1,0,,26,2,2,2,1.7,1
1,2,3,0,2,2,3,0,5,0,,18,1,3,3,1.8,1
2,2,2,1,4,2,1,1,2,1,,19,2,2,3,1.8,0.666666667
1,2,1,0,4,3,1,0,1,0,,24,2,2,5,1.3,0.4
1,0,5,1,2,1,4,2,4,1,,19,1,1,1,2.1,1
4,3,5,2,5,3,5,1,5,3,,25,1,3,3,3.6,1
1,2,0,0,1,3,5,0,2,0,,19,1,1,2,1.4,0.5
1,2,4,2,3,2,1,0,1,0,,22,2,1,2,1.6,0.5
2,4,5,3,4,4,5,4,5,3,,24,1,1,2,3.9,0.5
1,1,1,0,2,4,1,0,1,0,,28,1,1,2,1.1,0.5
2,1,3,2,2,2,1,1,4,0,,19,1,1,1,1.8,1
3,3,5,1,4,4,3,1,2,0,,26,2,1,5,2.6,0.2
2,0,3,1,2,3,2,1,2,1,,37,1,1,2,1.7,0.5
1,3,2,0,1,3,1,1,1,0,,26,3,1,1,1.3,1
4,2,4,1,4,4,2,1,4,0,,17,2,1,4,2.6,0.25
4,3,4,3,4,4,4,3,4,2,,47,1,1,2,3.5,0.5
1,0,1,0,1,0,1,0,1,0,,18,1,2,2,0.5,1
2,1,1,1,1,3,1,1,1,0,,18,2,2,2,1.2,1
1,1,2,1,5,3,1,1,2,0,,20,1,2,2,1.7,1
1,1,2,1,2,2,1,1,2,0,,29,2,2,2,1.3,1
2,2,2,2,4,1,5,1,3,0,,21,2,1,4,2.2,0.25
1,0,1,0,1,0,1,4,1,0,,20,1,2,2,0.9,1
4,4,4,3,5,4,4,1,2,3,,22,2,2,5,3.4,0.4
2,0,5,0,4,0,4,1,3,2,,24,1,4,4,2.1,1
2,2,3,0,2,4,1,1,4,0,,16,2,1,2,1.9,0.5
3,4,4,3,4,2,4,3,3,3,,23,2,1,3,3.3,0.333333333
4,3,4,2,4,3,4,1,4,2,,23,2,2,2,3.1,1
5,0,5,0,1,0,5,4,5,0,,21,1,1,3,2.5,0.333333333
5,0,1,4,1,4,1,3,2,1,,41,2,2,2,2.2,1
5,4,5,4,5,4,5,4,5,4,,26,1,1,2,4.5,0.5
4,4,3,2,5,3,4,3,5,4,,29,2,1,1,3.7,1
3,3,4,3,5,4,5,2,5,1,,21,2,1,4,3.5,0.25
3,0,2,0,1,4,1,0,2,0,,21,1,1,1,1.3,1
1,1,2,2,2,4,2,2,3,0,,15,2,1,3,1.9,0.333333333
1,1,1,0,2,1,1,1,3,0,,20,1,2,3,1.1,0.666666667
2,3,4,1,2,1,2,1,2,1,,21,2,1,3,1.9,0.333333333
4,4,4,3,4,4,4,4,5,3,,33,1,1,2,3.9,0.5
4,3,2,2,5,2,2,3,3,2,,21,3,3,3,2.8,1
2,4,5,4,4,4,5,0,4,3,,19,1,2,3,3.5,0.666666667
1,1,4,2,3,3,1,2,2,1,,16,2,1,2,2,0.5
1,2,2,2,3,3,2,2,3,0,,23,1,1,2,2,0.5
5,4,5,4,4,3,5,4,5,4,,34,1,2,2,4.3,1
1,2,1,1,1,2,1,1,1,0,,16,1,3,3,1.1,1
2,1,4,1,4,1,1,1,4,0,,23,1,2,4,1.9,0.5
3,0,4,3,2,2,2,1,3,2,,38,1,2,3,2.2,0.666666667
3,4,2,2,4,4,2,3,4,3,,19,2,5,5,3.1,1
1,1,3,1,4,3,2,1,2,1,,27,1,2,2,1.9,1
4,3,4,3,4,3,4,3,5,3,,19,1,1,2,3.6,0.5
3,2,4,2,4,3,3,1,3,2,,38,1,2,3,2.7,0.666666667
3,3,4,3,4,3,2,1,4,3,,20,2,2,3,3,0.666666667
5,3,3,4,3,1,3,3,5,1,,38,1,3,3,3.1,1
1,2,3,1,3,3,2,1,2,2,,25,1,5,5,2,1
3,4,4,1,5,4,4,3,4,3,,36,2,1,4,3.5,0.25
2,3,3,2,4,3,1,2,4,1,,22,1,1,4,2.5,0.25
3,0,4,1,3,1,2,0,2,1,,27,1,4,4,1.7,1
4,3,3,2,4,4,5,2,4,2,,15,2,2,2,3.3,1
1,1,2,1,2,3,2,0,1,1,,19,1,1,4,1.4,0.25
3,2,4,2,5,4,4,1,3,3,,34,1,7,9,3.1,0.777777778
3,2,3,1,2,4,5,1,2,1,,29,2,1,2,2.4,0.5
4,3,3,1,4,3,4,3,3,2,,30,2,2,4,3,0.5
5,4,4,1,5,1,3,1,3,3,,31,2,3,3,3,1
3,1,1,0,2,2,2,0,2,1,,28,3,2,5,1.4,0.4
1,3,2,1,2,1,1,3,4,0,,15,2,1,1,1.8,1
3,2,4,2,4,3,2,1,3,1,,18,1,3,3,2.5,1
4,4,5,4,5,4,3,3,4,4,,34,2,2,3,4,0.666666667
3,0,3,1,1,3,2,0,3,0,,29,1,1,1,1.6,1
2,1,3,1,3,1,2,1,4,1,,25,2,2,3,1.9,0.666666667
3,4,5,4,5,4,4,2,5,3,,48,1,1,2,3.9,0.5
1,3,5,2,4,3,1,2,2,2,,19,1,2,2,2.5,1
4,3,4,3,4,3,4,3,4,3,,26,2,2,4,3.5,0.5
1,1,4,1,1,1,1,1,1,0,,34,2,4,4,1.2,1
4,4,4,2,5,4,3,3,5,2,,23,2,1,3,3.6,0.333333333
3,4,4,3,4,3,3,4,2,2,,18,1,1,4,3.2,0.25
1,1,2,1,2,1,1,1,3,0,,52,2,4,4,1.3,1
2,2,2,2,3,3,1,1,3,2,,19,2,1,1,2.1,1
1,1,2,1,1,2,2,1,2,0,,27,1,2,3,1.3,0.666666667
1,1,3,0,2,1,1,0,2,0,,20,2,4,4,1.1,1
2,3,4,3,3,3,3,3,2,2,,56,1,2,3,2.8,0.666666667
3,4,4,2,4,3,2,1,4,1,,23,1,1,2,2.8,0.5
4,3,5,3,4,3,4,3,4,3,,45,2,3,3,3.6,1
2,1,3,2,2,1,1,2,4,0,,21,2,1,2,1.8,0.5
1,2,3,2,3,2,2,2,3,1,,20,1,7,7,2.1,1
5,4,5,4,4,4,5,4,5,1,,31,1,2,3,4.1,0.666666667
4,2,2,2,3,1,3,2,2,1,,19,1,1,4,2.2,0.25
1,0,1,0,1,0,1,0,1,0,,24,1,1,1,0.5,1
4,2,3,3,3,4,2,2,4,1,,24,2,1,2,2.8,0.5
3,4,1,4,4,3,3,4,4,3,,21,2,2,2,3.3,1
3,1,1,2,2,0,3,1,3,2,,25,2,3,3,1.8,1
1,4,4,3,5,5,5,4,5,1,,56,1,1,2,3.7,0.5
2,1,2,2,4,3,2,1,2,1,,14,2,1,1,2,1
3,2,5,3,4,3,5,2,2,3,,31,2,2,2,3.2,1
2,3,3,1,2,3,2,1,4,1,,37,1,3,3,2.2,1
2,2,3,3,2,3,3,2,3,1,,19,1,1,3,2.4,0.333333333
4,2,2,2,2,3,2,3,4,2,,22,2,1,1,2.6,1
3,2,3,1,1,1,4,3,1,0,,38,2,1,8,1.9,0.125
1,1,1,3,2,3,1,3,4,0,,32,1,1,2,1.9,0.5
1,1,3,0,3,1,2,1,4,0,,40,1,3,5,1.6,0.6
4,4,4,4,5,4,5,4,5,4,,18,2,1,3,4.3,0.333333333
3,3,4,3,5,3,4,1,2,3,,17,2,1,1,3.1,1
2,4,5,1,5,4,3,2,4,2,,17,2,1,1,3.2,1
4,2,4,2,4,3,5,2,3,2,,17,2,1,2,3.1,0.5
5,1,5,3,2,1,5,3,2,0,,17,2,1,3,2.7,0.333333333
2,3,4,2,3,3,1,3,3,0,,24,1,4,5,2.4,0.8
4,3,4,4,4,3,4,2,3,4,,17,2,1,2,3.5,0.5
4,3,4,4,4,4,2,3,5,3,,56,1,2,4,3.6,0.5
1,2,2,3,2,1,2,1,3,1,,17,2,1,1,1.8,1
0,4,5,4,5,4,4,1,5,4,,17,2,1,1,3.6,1
2,1,3,0,3,3,3,0,2,0,,32,1,2,2,1.7,1
4,0,4,0,3,4,2,0,1,0,,20,1,1,1,1.8,1
5,4,5,4,4,4,5,3,5,4,,41,1,1,1,4.3,1
1,0,5,2,5,0,5,2,5,0,,21,1,1,2,2.5,0.5
5,4,3,3,4,4,5,1,5,3,,20,1,3,3,3.7,1
